Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,ust_id
1,,C,C1,22p,SMD-0805,1,,5c70984712875079b91f8b34
2,,C,C6,4u7,SMD-0805,1,,5c70984712875079b91f8b52
3,,CP,C5,15uF/35V,TantalC_SizeC_Reflow,1,,5c70984812875079b91f8bac
4,,C,C2,1uF/50V,SMD-0805,1,,5c70984712875079b91f8b6f
5,,D_Schottky,D1,STPS340U,D_SMB,1,,5c70984512875079b91f88ba
6,,D_Zener,D2,ZSMD-5V6,D_MiniMELF,1,,5c70984512875079b91f88bc
7,,HEADER_1x02,J2,HEADER_1x02,Straight_2x01,1,,
8,,HEADER_2x04_PARALLEL,J4,HEADER_2x04_PARALLEL,Straight_2x04,1,,
9,,HEADER_2x03_PARALLEL,J1,POWER,Straight_2x03,1,,
10,,L,L1,10u-DJNR5040-100-S,DJNR5040,1,,5c70984412875079b91f882a
11,,R,R1,10k,SMD-0805,1,,5c70984612875079b91f899f
12,,R,R4,80k6,SMD-0805,1,,5cb467d31287500e61c242d2
13,,R,R2,1M8,SMD-0805,1,,5c70984712875079b91f8aab
14,,TPS6104,U1,TPS61041,SOT-23-5_HandSoldering,1,,5c70984612875079b91f8a0e
